epoch,learning_rate,train_loss,train_accuracy,train_f1,train_roc_auc,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_false_positive_rate,validation_false_negative_rate
1,0.001,0.651942259867986,0.6045833333333334,0.5994090333474039,0.6521141493055556,1.8917075618108115,0.51,0.5051282051282051,0.985,0.6677966101694915,0.7550166666666666,0.965,0.015
2,0.001,0.44463863531748454,0.79375,0.7701949860724234,0.8504711805555556,0.4395878263314565,0.7883333333333333,0.8035087719298246,0.7633333333333333,0.7829059829059829,0.8724305555555556,0.18666666666666668,0.23666666666666666
3,0.001,0.3641851592063904,0.8310416666666667,0.8044369423679768,0.8969841145833333,0.33455770611763,0.8283333333333334,0.964622641509434,0.6816666666666666,0.798828125,0.9314861111111111,0.025,0.31833333333333336
4,0.001,0.3000759885708491,0.8610416666666667,0.8489241223103058,0.938785763888889,0.22784298559029897,0.8916666666666667,0.9467680608365019,0.83,0.8845470692717584,0.9690555555555556,0.04666666666666667,0.17
5,0.001,0.240938214858373,0.8933333333333333,0.8901287553648068,0.9624842013888888,0.27016752938429517,0.9025,0.866464339908953,0.9516666666666667,0.9070691024622717,0.9720444444444444,0.14666666666666667,0.04833333333333333
6,0.001,0.18154729157686234,0.9233333333333333,0.922165820642978,0.9796470486111112,0.343340220451355,0.8691666666666666,0.991130820399113,0.745,0.8506184586108468,0.9707444444444444,0.006666666666666667,0.255
7,0.001,0.13922167892257373,0.9422916666666666,0.9419408928945714,0.9877114583333333,0.1264176118373871,0.955,0.9642857142857143,0.945,0.9545454545454546,0.9894888888888888,0.035,0.055
8,0.001,0.11142032648126285,0.9572916666666667,0.95703206874869,0.9913015624999999,0.08577577362457911,0.9766666666666667,0.9750830564784053,0.9783333333333334,0.9767054908485857,0.9943277777777777,0.025,0.021666666666666667
9,0.001,0.10648195582131545,0.9610416666666667,0.9605900948366701,0.9922069444444443,0.5067126607894897,0.8158333333333333,0.7354037267080745,0.9866666666666667,0.8427046263345196,0.9844944444444443,0.355,0.013333333333333334
10,0.001,0.10874152193466823,0.960625,0.9601685985247629,0.9911585069444445,0.06118904769420624,0.9833333333333333,0.9915254237288136,0.975,0.9831932773109243,0.9968833333333333,0.008333333333333333,0.025
11,0.001,0.07794457534948984,0.9729166666666667,0.9726775956284153,0.9952644097222222,0.6035363217194875,0.8266666666666667,0.7443890274314214,0.995,0.8516405135520685,0.9888263888888889,0.3416666666666667,0.005
12,0.001,0.08089716836810112,0.9704166666666667,0.9700800674252001,0.9950847222222222,0.27059364438056943,0.8908333333333334,0.8252427184466019,0.9916666666666667,0.9008327024981075,0.9933111111111111,0.21,0.008333333333333333
13,0.0005,0.06019361787165205,0.9797916666666666,0.9796603061438457,0.9967713541666667,0.09430465658505757,0.9641666666666666,0.9946714031971581,0.9333333333333333,0.9630266552020637,0.9954444444444444,0.005,0.06666666666666667
14,0.0005,0.05918675057279567,0.979375,0.9791973103593192,0.9970276041666666,0.06008455942074458,0.98,0.9768211920529801,0.9833333333333333,0.9800664451827242,0.9970944444444444,0.023333333333333334,0.016666666666666666
15,0.0005,0.04359958214064439,0.9852083333333334,0.985118423810522,0.9978807291666666,0.07494237293799719,0.9758333333333333,0.9734660033167496,0.9783333333333334,0.9758935993349959,0.9958,0.02666666666666667,0.021666666666666667
16,0.0005,0.04764548261339466,0.9825,0.9824046920821115,0.9975703125000001,0.09826518329481283,0.9616666666666667,0.9946428571428572,0.9283333333333333,0.9603448275862069,0.9965583333333333,0.005,0.07166666666666667
17,0.00025,0.04155120777897537,0.9883333333333333,0.9882894186532831,0.9975829861111112,0.04760140431423982,0.9866666666666667,0.9882943143812709,0.985,0.986644407345576,0.9971916666666666,0.011666666666666667,0.015
18,0.00025,0.03375049179109434,0.99,0.9899497487437185,0.9980628472222223,0.04745103395233552,0.985,0.9948979591836735,0.975,0.9848484848484849,0.9974444444444444,0.005,0.025
19,0.00025,0.03209782834475239,0.9908333333333333,0.9908065190137902,0.9982493055555556,0.048425563648343085,0.9866666666666667,0.9882943143812709,0.985,0.986644407345576,0.9971444444444444,0.011666666666666667,0.015
20,0.00025,0.025353792196450134,0.9939583333333334,0.9939368597114782,0.9986154513888889,0.052601655417432384,0.985,0.988255033557047,0.9816666666666667,0.9849498327759197,0.9968666666666666,0.011666666666666667,0.018333333333333333
21,0.000125,0.02904374342256536,0.9916666666666667,0.991652754590985,0.9986269097222222,0.04925041706611713,0.9841666666666666,0.9849749582637729,0.9833333333333333,0.9841534612176814,0.9969027777777778,0.015,0.016666666666666666
22,0.000125,0.026136190226922432,0.993125,0.9930947897049592,0.9984392361111111,0.04918386348212759,0.9875,0.9915966386554622,0.9833333333333333,0.9874476987447699,0.9966888888888888,0.008333333333333333,0.016666666666666666
23,0.000125,0.023547241704848905,0.9935416666666667,0.9935241278462502,0.9987428819444444,0.05857047917942206,0.9833333333333333,0.9817275747508306,0.985,0.9833610648918469,0.9960333333333332,0.018333333333333333,0.015
